Alabama,389429,"27,451"
Alaska,123213,"19,256"
Arizona                                                                                                                        ,1200728,"109,200"
Arkansas                                                                                                                       ,286314,"18,401"
California,3323867,"230,236"
Colorado                                                                                                                       ,258204,"15,599"
Connecticut                                                                                                                      ,283447,"14,129"
Delaware                                                                                                                     ,110984,"7,612"
District of Columbia                                                                                                            ,239825,"8,580"
Florida                                                                                                                     ,2144336,"152,273"
Georgia                                                                                                                     ,388454,"25,355"
Hawaii                                                                                                                     ,184702,"26,450"
Idaho                                                                                                               ,141698,"12,989"
Illinois                                                                                                               ,1172339,"71,059"
Indiana                                                                                                               ,348062,"25,882"
Iowa                                                                                                              ,155221,"10,942"
Kansas                                                                                                             ,276404,"19,417"
Kentucky                                                                                                             ,273099,"22,479"
Louisiana                                                                                                        ,193808,"13,563"
Maine                                                                                                       ,77633,"5,037"
Maryland                                                                                                      ,338846,"13,909"
Massachusetts,490217,"23,948"
Michigan,501164,"36,637"
Minnesota,309544,"21,572"
Mississippi,227572,"14,594"
Missouri                                                                                                                       ,457379,"34,980"
Montana                                                                                                                        ,59093,"3,534"
Nebraska                                                                                                                       ,147316,"9,955"
Nevada                                                                                                                         ,751511,"59,170"
New Hampshire                                                                                                                  ,92264,"8,062"
New Jersey                                                                                                                    ,130367,"6,468"
New Mexico                                                                                                                     ,266270,"18,071"
New York                                                                                                                      ,1702598,"99,142"
North Carolina                                                                                                                ,506596,"37,387"
North Dakota                                                                                                                   ,61884,"4,503"
Ohio                                                                                                                           ,1026121,"70,722"
Oklahoma                                                                                                                      ,219778,"19,020"
Oregon                                                                                                                         ,417617,"28,106"
Pennsylvania                                                                                                                   ,1185690,"79,889"
Rhode Island                                                                                                                   ,156561,"10,941"
South Carolina                                                                                                                 ,321397,"27,033"
South Dakota                                                                                                                   ,125093,"7,708"
Tennessee                                                                                                                      ,527566,"33,815"
Texas                                                                                                                          ,2187565,"463,875"
Utah                                                                                                                           ,245994,"14,196"
Vermont                                                                                                                        ,33020,"2,008"
Virginia                                                                                                                       ,268155,15031
Washington                                                                                                                     ,440447,"34,883"
West Virginia                                                                                                                  ,232205,"12,704"
Wisconsin                                                                                                                     ,476776,"25,094"
Wyoming                                                                                                                        ,122256,"7,066"
,,
Totals,25600631,"2,079,933"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,, 
